epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12809,2.98538,3.53188,4.07698,0.0026,0.73585,0.00907,0.00179,3.43791,4.00774,4.22962,0.000654088,0.000654088,0.000654088
2,5.33637,2.74239,2.71761,3.42089,0.0032,0.90566,0.01282,0.0028,2.96129,3.61275,3.87248,0.00130768,0.00130768,0.00130768
3,7.55004,2.35163,2.32415,2.99884,0.09717,0.07547,0.02846,0.00316,3.64601,13.9221,5.53163,0.00194807,0.00194807,0.00194807
4,9.74309,2.21048,2.08043,2.76388,0.70416,0.13208,0.18838,0.06585,3.9766,3.87775,5.11187,0.0019406,0.0019406,0.0019406
5,11.9113,1.97443,1.82008,2.57003,0.89906,0.92453,0.95815,0.5178,1.63886,3.05097,2.22992,0.0019208,0.0019208,0.0019208
6,14.0714,1.83857,1.65438,2.45157,0.92304,0.98113,0.95516,0.45235,1.67732,1.39609,2.08339,0.001901,0.001901,0.001901
7,16.3004,1.79809,1.54858,2.39357,0.78944,0.84888,0.89757,0.37116,1.98329,3.31031,2.81166,0.0018812,0.0018812,0.0018812
8,18.4768,1.74859,1.46568,2.33612,0.98055,0.95149,0.99263,0.59771,1.38217,0.88848,1.81975,0.0018614,0.0018614,0.0018614
9,20.6501,1.69296,1.42557,2.27442,0.87329,0.88679,0.92623,0.3661,1.7978,1.37924,2.36626,0.0018416,0.0018416,0.0018416
10,22.8152,1.63684,1.34255,2.22563,0.69721,0.82552,0.783,0.21854,2.28268,1.95599,3.00957,0.0018218,0.0018218,0.0018218
11,25.0013,1.6151,1.31134,2.14259,0.95422,0.96226,0.99019,0.61716,1.31245,1.04109,1.79498,0.001802,0.001802,0.001802
12,27.1882,1.55282,1.26323,2.1137,0.94033,1,0.98365,0.48022,1.50348,1.48889,2.06545,0.0017822,0.0017822,0.0017822
13,29.3562,1.52671,1.19209,2.06652,0.99597,1,0.995,0.61466,1.2976,1.02532,1.77369,0.0017624,0.0017624,0.0017624
14,31.4928,1.52818,1.14699,2.04895,1,0.98017,0.995,0.54687,1.62414,0.85206,1.86139,0.0017426,0.0017426,0.0017426
15,33.6384,1.54423,1.13442,2.0583,0.98097,1,0.99481,0.63028,1.25416,0.7575,1.65209,0.0017228,0.0017228,0.0017228
16,35.8255,1.49624,1.09493,1.99937,0.97903,1,0.995,0.51648,1.65306,1.04164,1.97336,0.001703,0.001703,0.001703
17,38.0232,1.4689,1.08476,1.98716,0.97972,0.91145,0.97839,0.53701,1.45713,0.99273,1.96436,0.0016832,0.0016832,0.0016832
18,40.2127,1.46112,1.07469,1.96045,0.98109,0.97898,0.99072,0.65039,1.20094,0.73707,1.63243,0.0016634,0.0016634,0.0016634
19,42.3909,1.42337,1.00317,1.93721,0.98935,1,0.995,0.57762,1.49582,0.74073,1.82637,0.0016436,0.0016436,0.0016436
20,44.5441,1.40728,0.98958,1.90758,0.905,0.9434,0.96972,0.52891,1.48862,1.01768,1.99328,0.0016238,0.0016238,0.0016238
